
# CAT Stock - Sorted by Distance from 150-Day SMA

## Most Below SMA (Bottom 20)

| Rank | Date | Price | 150-Day SMA | Distance ($) | Distance (%) |
| 14 | 2025-04-03 | $305.76 | $369.03 | -$63.27 | -17.15% |
| 15 | 2025-04-25 | $306.45 | $364.01 | -$57.56 | -15.81% |
| 16 | 2025-04-24 | $306.86 | $364.33 | -$57.47 | -15.77% |
| 17 | 2025-04-28 | $307.06 | $363.56 | -$56.50 | -15.54% |
| 18 | 2025-04-29 | $307.40 | $363.16 | -$55.76 | -15.35% |
| 19 | 2025-04-30 | $309.27 | $362.74 | -$53.47 | -14.74% |
| 20 | 2025-05-01 | $313.96 | $362.26 | -$48.30 | -13.33% |
| 21 | 2025-03-04 | $326.75 | $369.32 | -$42.57 | -11.53% |
| 22 | 2025-05-07 | $320.29 | $360.51 | -$40.22 | -11.16% |
| 23 | 2025-05-06 | $320.89 | $360.98 | -$40.09 | -11.11% |
| 24 | 2025-03-28 | $329.69 | $369.65 | -$39.96 | -10.81% |
| 25 | 2025-03-31 | $329.80 | $369.56 | -$39.76 | -10.76% |
| 26 | 2025-05-05 | $323.11 | $361.45 | -$38.34 | -10.61% |
| 27 | 2025-05-02 | $323.68 | $361.90 | -$38.22 | -10.56% |
| 28 | 2025-04-01 | $330.57 | $369.45 | -$38.88 | -10.52% |
| 29 | 2025-03-03 | $332.04 | $369.48 | -$37.44 | -10.13% |
| 30 | 2025-05-08 | $324.25 | $360.05 | -$35.80 | -9.94% |
| 31 | 2025-03-13 | $333.31 | $369.71 | -$36.40 | -9.84% |
| 32 | 2025-05-09 | $325.62 | $359.60 | -$33.98 | -9.45% |
| 33 | 2025-04-02 | $334.66 | $369.34 | -$34.68 | -9.39% |
| 34 | 2025-03-21 | $335.78 | $369.82 | -$34.04 | -9.20% |
| 35 | 2025-03-20 | $336.25 | $369.83 | -$33.58 | -9.08% |
| 36 | 2025-03-18 | $336.71 | $369.83 | -$33.12 | -8.96% |
| 37 | 2025-03-12 | $338.13 | $369.66 | -$31.53 | -8.53% |
| 38 | 2025-03-19 | $338.62 | $369.85 | -$31.23 | -8.44% |
| 39 | 2025-03-05 | $338.49 | $369.28 | -$30.79 | -8.34% |
| 40 | 2025-02-24 | $338.92 | $369.60 | -$30.68 | -8.30% |
| 41 | 2025-03-27 | $339.30 | $369.74 | -$30.44 | -8.23% |
| 42 | 2025-03-14 | $339.64 | $369.80 | -$30.16 | -8.16% |
| 43 | 2025-03-11 | $339.77 | $369.52 | -$29.75 | -8.05% |
| 44 | 2025-02-21 | $340.04 | $369.72 | -$29.68 | -8.03% |
| 45 | 2025-02-27 | $340.00 | $369.51 | -$29.51 | -7.99% |
| 46 | 2025-03-26 | $341.11 | $369.76 | -$28.65 | -7.75% |
| 47 | 2025-03-06 | $341.01 | $369.27 | -$28.26 | -7.65% |
| 48 | 2025-03-24 | $341.67 | $369.79 | -$28.12 | -7.61% |
| 49 | 2025-02-25 | $342.36 | $369.57 | -$27.21 | -7.36% |
| 50 | 2025-03-25 | $342.62 | $369.79 | -$27.17 | -7.35% |
| 51 | 2025-03-17 | $342.64 | $369.84 | -$27.20 | -7.35% |
| 52 | 2025-02-26 | $342.58 | $369.53 | -$26.95 | -7.29% |
| 53 | 2025-02-28 | $343.95 | $369.56 | -$25.61 | -6.93% |
| 54 | 2025-03-10 | $345.21 | $369.39 | -$24.18 | -6.55% |
| 55 | 2025-02-20 | $349.15 | $369.84 | -$20.69 | -5.59% |
| 56 | 2025-03-07 | $350.30 | $369.30 | -$19.00 | -5.15% |
| 57 | 2025-02-12 | $352.04 | $369.43 | -$17.39 | -4.71% |
| 58 | 2025-05-12 | $342.55 | $359.27 | -$16.72 | -4.65% |
| 59 | 2025-02-19 | $353.00 | $369.91 | -$16.91 | -4.57% |
| 60 | 2025-02-14 | $353.32 | $369.74 | -$16.42 | -4.44% |
| 61 | 2025-02-13 | $353.70 | $369.59 | -$15.89 | -4.30% |
| 62 | 2025-02-18 | $354.00 | $369.86 | -$15.86 | -4.29% |
| 63 | 2025-05-21 | $342.51 | $357.13 | -$14.62 | -4.09% |
| 64 | 2025-05-23 | $343.39 | $356.51 | -$13.12 | -3.68% |
| 65 | 2025-05-22 | $345.19 | $356.84 | -$11.65 | -3.26% |
| 66 | 2025-06-02 | $344.67 | $355.12 | -$10.45 | -2.94% |
| 67 | 2025-05-14 | $349.66 | $358.65 | -$8.99 | -2.51% |
| 68 | 2025-05-15 | $349.81 | $358.40 | -$8.59 | -2.40% |
| 69 | 2025-05-20 | $349.49 | $357.47 | -$7.98 | -2.23% |
| 70 | 2025-05-30 | $348.03 | $355.40 | -$7.37 | -2.07% |
| 71 | 2025-05-28 | $349.49 | $355.92 | -$6.43 | -1.81% |
| 72 | 2025-05-13 | $352.54 | $358.98 | -$6.44 | -1.79% |
| 73 | 2025-06-03 | $349.40 | $354.87 | -$5.47 | -1.54% |
| 74 | 2025-06-05 | $348.96 | $354.35 | -$5.39 | -1.52% |
| 75 | 2025-06-04 | $349.33 | $354.63 | -$5.30 | -1.49% |
| 76 | 2025-05-19 | $352.57 | $357.82 | -$5.25 | -1.47% |
| 77 | 2025-05-27 | $351.51 | $356.22 | -$4.71 | -1.32% |
| 78 | 2025-05-16 | $353.58 | $358.11 | -$4.53 | -1.27% |
| 79 | 2025-05-29 | $351.79 | $355.67 | -$3.88 | -1.09% |
